ikenaiwa,Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,Aono,Mio Himemiya,DmIrCKv-wJ4,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
Amazing Tokio,Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,,Mio Himemiya,C4jeB7YPoLg,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
A Freshwater Fish,Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,Ayana Hoshikawa,Ayana Hoshikawa,dk_MHCn5eFc,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
Mirai Planetarium,Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,Furu,,g4DlK-KQmaM,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
Kutsuwa,Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,,,ESsOEnEj1ag,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
"A, un",Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,,,gMMNt9Quw1I,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
True Good Bye,Yasufumi Watanabe,http://frottage.info/,Mio Himemiya,Mio Himemiya,,,VEsJOT9IVz8,https://itunes.apple.com/jp/album/mirai-planetarium-ep/id951721172
Jitaku Kakuchou Keikaku,Ottiki & Charlotte　（CIO）,http://www.c-i-o.info/,Mio Himemiya,manamio,,,zi2u8H9perU,
Nekomance,Ultra Flesh (Vamp Star),http://vampstarmusic.blogspot.com,Vamp Star ft. Mio Himemiya,Vamp Star ft. Mio Himemiya,,Vamp Star,-oGkSfR-uD0,
"3, 2, 1, FIGHT!",Ultra Flesh,http://ultrafleshmusic.blogspot.com/,Ultra Flesh ft. Mio Himemiya,Ultra Flesh ft. Mio Himemiya,,,,
